compartment,Procrustes,Procrustes+ProtT5,ProtT5,SPACE-v2
Cell membrane,0.0487382049596112,0.823622905477028,0.8465111197601999,0.05792795750259056
Cytoplasm,0.0377582766241163,0.700869273316035,0.7200388127449197,0.03234746745461715
Endoplasmic reticulum,0.037425206006015635,0.6628677297132808,0.6760605080353735,0.021855207320504968
Extracellular,0.09734495242929585,0.9243034912768175,0.932935505292518,0.051730093682673034
Golgi apparatus,0.049164682935764786,0.8057295940116225,0.8261176503818359,0.0150572675277068
Lysosome/Vacuole,0.027405222510039465,0.4745303441555366,0.55829925439809,-0.0023073853552673
Mitochondrion,0.05205739235194463,0.768284566799356,0.7748917668306543,0.020970026504831398
Nucleus,0.3589532877158108,0.8841182436039904,0.8879800481760994,0.06963126580025228
Peroxisome,0.0194464853256099,0.47390334836607156,0.565084116761878,0.0
Plastid,0.21315535054813892,0.8507882298591963,0.8591013590419211,0.17328832029149163
